GUEST,SITE_URL,Introduction,Response,Acting Person,,Second Mentioned,Action,5 Love Languages (deprecate),
Daniel Ek,https://www.joincolossus.com/episodes/14058936/ek-enabling-creators-everywhere?tab=transcript,"Today is a special episode because it marks five years since I released the first episode of Invest Like The Best. Over those years, I've learned so much from so many investors and builders, but today's guest may have taught me the most. Daniel Ek is the CEO and founder of Spotify, and I find him to be one of the most thoughtful business leaders in the world. Daniel is the perfect guest for this special occasion because he exemplifies the curiosity, humility, leadership, and dogged determination that I think characterizes the best investors and operators. In our conversation, we discuss the differences between the world of bits and atoms, how Daniel gets up to speed in challenging new fields and why Europe might be a sleeping giant about to wake. We then bring the discussion back to Spotify, the evolving creator ecosystem and Daniel's frameworks for leading the business into its next chapter of growth.
Over the past five years, we've produced more than 300 of these shows and reached nearly 30 million people. I'm deeply thankful to the guests who have been willing to share their knowledge with us all, and even more thankful to everyone who has taken the time to listen and learn alongside me. This has truly been the greatest pleasure of my career and I don't plan on ever stopping this journey. Now please enjoy my conversation with a great friend, Daniel Ek.",Question not found,,,,,,
Scott Malpass,https://www.joincolossus.com/episodes/77217304/malpass-building-a-great-endowment?tab=transcript,"My guest today is Scott Malpass. Scott was the CIO of Notre Dame's endowment for 32 years, and has always been a pioneer at the forefront of the endowment investing world. Leading Notre Dame's early investments into Sequoia, as well as some of the premier fund managers in China decades ago. Scott built the endowment into a powerhouse, scaling it from 400 million to over 12 billion of assets under management, across 175 managers. In our conversation, we talked about the qualities he looks for in great investors, how asset classes have evolved over his 30 years of investing and how Scott recruited top talent to work at Notre Dame's endowment. Scott is clearly on the Mount Rushmore of institutional investors, and I'm lucky to consider him a mentor and a friend. I hope you enjoy this great conversation with Scott Malpass.","[00:58:28] Well, Patrick, that's a great question. I guess three things come to mind. First of all, Bob Wilmouth who chaired the investment committee and really hired me another day, and was just so kind to me and my team always, and supportive and helpful. And I was a 26-year-old CIO, I have to tell you that was probably kind of him to put the time in that he did. And then, Jay Jordan, who took over from Bob as chair, same thing. Jay also through two fabulous evening dinners with our trustees, our investment committee in Chicago on my 20th and 25th anniversary, which were incredibly special for all of us, and also setting up a program in my name at Notre Dame for a high end students. And then, I'd say, thirdly, our friend Rick Berman asking me to be godfather to his son, Theo, who was born with a lot of challenges. So I've been just so honored to be his godfather.",Boss,,,Took a chance,Gift,
"Renata Quintini, Roseanne Wincek",https://www.joincolossus.com/episodes/73766219/quintini-investing-at-the-supercritical-stage?tab=transcript,"My guests today are Renata Quintini and Roseanne Wincek, co-founders and managing directors of Renegade Partners. Before launching Renegade, Renata and Roseanne were partners at high profile VC firms Lux Capital, and IVP. During our conversation, we explore their careers and what led them to launch Renegade. We cover what it means to invest at the super critical stage in venture and dive into a variety of topics around this theme. We then discuss their investing philosophies more broadly covering what best in class talent pipelines look like, what quality revenue means to them and what worries the most in search of businesses with outsized potential returns. I think this episode highlights that even as competition in venture has intensified, the best VC partners can offer more than just capital. I hope you enjoy my conversation with Renata and Roseanne.","Renata: [00:56:44] I think believe in me when it was impossible, because it takes seeing you for who you are and say you can do it when you think you can't or the world thinks you cannot. And when you think about the ripple effects of that one thing allows me to pay back 10 million kindnesses back. And I hope to do that.Roseanne: [00:57:04] The first thing I went to were like, well, which one do I pick? Somebody who told me that I could do something that I wanted to do. I think about that a lot. My dad was one of those people who was always like, baby, you can do whatever you want, any job you want. And I was like, duh, of course.But then he knew that I would grow up and go into the world and the world would tell me otherwise, because I was a woman or I am a woman. So yeah, all those people who kept going, I think about my parents and my thesis advisor and Maha, the first person who hired me in Venture.",Father,,PhD Advisor,Support,Acts of Service,
Suzanne Ciani,https://www.joincolossus.com/episodes/67301309/ciani-exploring-the-creative-process?tab=transcript,"The intro music you just heard is from my guest today, Suzanne Ciani, an early pioneer of electronic music dating back to the 1970s. As a five-time Grammy nominated composer, Suzanne's music can be heard on her solo albums, as well as many films, games and countless commercials. Many have argued her Coca-Cola Pop and Pour changed the sound of advertising forever. During our conversation, we discuss what it means to be an artist, how to evolve away from the need for approval and validation and the importance of mentors during the creative process. While many of our guests strive to be lifelong learners, Suzanne seems to take this a step further as a lifelong learner, and lifelong creator. I hope you enjoy my conversation with Suzanne Ciani.","[00:51:24] Kindest thing that anyone has ever done for me. Kindness is a wonderful idea. You have to be vulnerable to receive kindness, even to be aware of it. Maybe the kindest thing anybody did was give me a wonderful birthday party. That's how we started this conversation today.",Parents,,,Support,Acts of Service,
Sridhar Ramaswamy,https://www.joincolossus.com/episodes/84033716/ramaswamy-the-past-present-and-future-of-search?tab=transcript,"My guest today is Sridhar Ramaswamy. Co-founder and CEO of Neeva and venture partner at Greylock. After a 15 year career building Google's ad business, Sridhar launched Neeva as an ad free search engine with a focus on personalization and privacy. During our conversation, we dive into the early days of search and what led to Google's dominance. Sridhar shares his view on the potential end state for ad based search engines and how all of his experiences led him to found Neeva. Beyond a great deep dive into the origins of search, this discussion is filled with great lessons about data-driven decisions, the value of partnerships, and balancing revenue opportunities against user experience. I hope you enjoy my conversation with Sridhar Ramaswamy.","[01:06:18] I've talked about this a little bit, but I think the kindest thing that several people, I'll name of few, have done for me is see potential in me. There are quite a few people, but definitely my first boss at Google, Jeff Huber, who went on to become the CEO of Grail. Alan Eustace, who headed Google engineering for a very long time. Larry and Eric and even Bill Campbell, they all saw potential in me and gave me opportunities that bluntly, I just wasn't qualified for at the time. But they believed in my ability to rise up to those kinds of challenge. And as a leader, that is the bar that I hold for myself, which is see potential, expect more, and be active participant in the feedback.Bill would give me a hard time about all kinds of things, but he would also know exactly which grade my kids were in and what they cared about. So there was just that element of investment that came along with the belief. It was an active state of mind. There was not someone vaguely saying, ""Yes, yes, Patrick, you'll be a billionaire,"" and walking away. It was the active, committed engagement. I would say that belief and engagement, which several people have, going back all the way to my high school teacher. That's the biggest kindest gift that anyone can give for anyone.",Boss,,,Took a chance,Gift,
Karen Karniol,https://www.joincolossus.com/episodes/969568/karniol-tambour-all-things-macro?tab=transcript,"My guest today is Karen Karniol-Tambour, Partner and Co-CIO for Sustainability at Bridgewater Associates. You'll quickly understand why Ray Dalio described Karen as a ""vacuum cleaner of learning"". Our conversation covered a variety of market themes, and Karen goes deep on each of them. We touch on inflation, monetary policy, currencies, retail investors, ESG, and how each of these levers has become more important for investors to understand.
Karen has a rare skill for making complex ideas seem simple, and I love the frameworks she uses to deconstruct big, important issues. She does such a good job of explaining what's changed, why it matters, and what to do about it. I hope you enjoy my great conversation with Karen Karniol-Tambour.","[01:13:02] I feel like it's almost cliche, but I really feel that Ray, Bob, and Greg who are kind of the founders, the fact that they were never afraid, ever, that they would, quote unquote, hurt my feelings, and from day one were willing to spend the time. And I think in some ways, when you're new in this, spending the time to mentor someone is the kindest thing you can do for someone. Spend the time, but also say it like it is, give me really harsh feedback, and honestly, continuously push me into harder and harder jobs. They saw me as a lot more capable faster than I ever saw myself. I think that is the kindest thing instead of things you can do for someone. Spend the time, mentor them, give them real feedback, and see the potential in them they don't even see themselves yet.",Boss,,,Mentorship,Acts of Service,
Carl Kawaja,https://www.joincolossus.com/episodes/25055995/kawaja-wisdom-from-decades-of-investing?tab=transcript,"Today's conversation is one of my all time favorites with someone I've come to respect deeply in the field of investing. My guest is Carl Kawaja, who has served as a portfolio manager at Capital Group for decades. Capital Group is among the most respected shareholders in the world with over $2 trillion of assets, and listening to Carl, you'll hear why. In our conversation, we cover Carl's criteria for building conviction around long-term holdings, why he views uncertainty and ambiguity as healthy, and why tolerating failure is key to a great investing career. Throughout our discussion, Carl connects his lessons through a variety of direct experiences, personal analogies, and broader frameworks. I love his ability to talk in the weeds about his investments in Vale and TSMC, and then quickly shift his broader thematic views like The Empire Strikes Back. I hope you enjoy this great conversation with Carl Kawaja.",Counsel,Doctor,,,Support,,
Stephen Mandel,https://www.joincolossus.com/episodes/17309631/mandel-investing-behind-change?tab=transcript,"My guest today is Steve Mandel, founder of Lone Pine Capital, one of the most successful hedge fund and investment firms of this generation. In our conversation, we discussed how the investing business has evolved since Steve's start in the 1980s, why it's so difficult to drive alpha by shorting stocks today relative to 20 years ago, and why Steve still loves getting into the guts of a business. Steve shares his lessons through a variety of great stories, which made this such a fun experience. Please enjoy my conversation with Steve Mandel.","[01:05:07] Probably, I would say my wife saying yes to me asking me to marry her. But she kind of knew that was coming. I really always have admired and been thankful for both Joe Ellis at Goldman and Julian Robertson at Tiger giving me the freedom and runway to express myself, advance, do things without ... There can be a tendency to-",Wife,,,Marriage,,
David Sacks,https://www.joincolossus.com/episodes/58778794/sacks-how-to-operate-a-saas-startup?tab=transcript,"My guest today is David Sacks, general partner at Craft Ventures and founding COO of PayPal. During our conversation, we explore what differentiates enterprise SaaS from DTC subscriptions, what makes for a magical product launch event, and what key growth metrics David uses to measure success. David has written extensively on his idea of operating cadence, and we explore how that applies to various functions within an organization. As time goes on, I am more and more impressed at the talent that existed within the original PayPal mafia. And I couldn't help but ask David to highlight the superpowers for a few of his early partners. This was an incredibly informative conversation with fun threads throughout. Please enjoy my conversation with David Sacks."," When I was five years old, my parents immigrated to America. That was very important for my future development. Look, I think they could have been happy and successful staying where they were, which was South Africa. But they expressly had the conversation about where their kids would want to live. Immigrating to America was obviously a gigantic unlock for me to have opportunity in my life.",Parents,,,Immigration,,
Balaji Srinivasan,https://www.joincolossus.com/episodes/85214124/srinivasan-optimizing-your-inputs?tab=transcript,"My guess today is Balaji Srinivasan, a serial entrepreneur, and angel investor. Balaji is known to challenge conventional wisdom, and he lives up to his reputation in this conversation. We discuss a wide variety of topics, including advancements in health tracking, ways to evaluate your own information diet, and how technology is driving decentralization, and what that could mean for countries, corporations, and individuals. Before we transition to the episode, if you enjoy this conversation with Balaji, I'd recommend the Ethereum episode on our newest show Business Breakdowns. You can find that episode and more on your favorite podcast player, or at joincolossus.com. Now please enjoy my conversation with Balaji Srinivasan.","[01:37:44] The interesting thing about the question is that kindness almost feels like it was sort of undeserved in a way, or is like a bounty of some kind that kind of arrived from you didn't need to do it or whatever. I'm not sure if this is the kindest thing anybody's ever done for me, but it was surprising to see some of my former students have made really touching images or videos. Like people who I got into Bitcoin in 2013, I taught this class that had 250,000 students and had Bitcoin tutorials in there. Bitcoin was like at 60 bucks. Some people had their life just totally changed by that. They've done very kind things over the years, sent me really nice messages. They're like, ""I was at X and now I'm at Y. Thank you."" Just very unexpected gratitude because all I just did was type some stuff online that I knew. I didn't realize it had this positive impact on people. That was touching to me because you have a very left brain view of the world or actually right brain is the logical side, right, left brain is the emotional? I always forget that.",,,,,,
